,Borough,Neighborhood,ID,Name
308,Brooklyn,Ditmas Park,4be756a4910020a1db5ad514,Cam Tak Express Restaurant
309,Brooklyn,Wingate,4e35b780d1649e45e3d4943b,House Of Lin Chinese Restaurant
310,Brooklyn,Rugby,4c1ad571eac020a10a0144c2,China Hao Restaurant
311,Staten Island,Park Hill,4bd4c5564e32d13ab2e0bf80,Golden Star Chinese Restaurant
312,Staten Island,Westerleigh,4c254b83a852c92818ade46c,Crown Palace
313,Staten Island,Westerleigh,4c93b85cf244b1f7c6621b1d,Fortune Cookie
314,Staten Island,Westerleigh,4bd6244d7b1876b098188c86,Empire Szechuan
315,Staten Island,Graniteville,5165e9fee4b08d4837e87f35,Empire East
316,Staten Island,Graniteville,4b69eeedf964a520debc2be3,Great China Restaurant
317,Staten Island,Grasmere,4bd4c5564e32d13ab2e0bf80,Golden Star Chinese Restaurant
318,Staten Island,Old Town,4bd4c5564e32d13ab2e0bf80,Golden Star Chinese Restaurant
319,Staten Island,Dongan Hills,4bba73677421a593ebd4c340,Jac Mao
320,Staten Island,Midland Beach,4cc61c46b2beb1f74faa264c,Everybody's Kitchen
321,Staten Island,Grant City,4c14210c7f7f2d7fae69e068,Crown Palace
322,Staten Island,Bay Terrace,4b747adcf964a52010df2de3,Lucky Fortune Chinese Restaurant
323,Staten Island,Charleston,4bddca41ffdec928876ee6a1,Loon Chuan
324,Staten Island,Rossville,4c2bd58f57a9c9b6f591f667,Happy Fortune
325,Staten Island,Greenridge,4c924bf52626a1cdf368396b,Ho Wok
326,Staten Island,Bulls Head,5165e9fee4b08d4837e87f35,Empire East
327,Staten Island,Bulls Head,4b6b7476f964a520dd092ce3,Oriental Plaza
328,Staten Island,Bulls Head,4d62d78b149637046d7d0395,China House
329,Manhattan,Noho,5b380f649deb7d00399fdf9d,Kings County Imperial
330,Manhattan,Midtown South,4e3484038877beb5e9a22a0b,Café China
331,Staten Island,Shore Acres,4bd36553caff95212bd4d4f0,Island Garden
332,Staten Island,Clifton,4f32043a19833175d60a05a4,Chieng Garden Kitchen
333,Staten Island,Concord,4bd4c5564e32d13ab2e0bf80,Golden Star Chinese Restaurant
334,Staten Island,Randall Manor,4d80eb27208a5481a3a87d67,Lucky Garden
